D,chi,eval_label,dmrg_energy_per_site,peps_variational_energy_per_site,delta_energy_per_site,stderr_per_site,n_samples
2,4,Metropolis,-1.338058581918589,-1.3379315664817901276,1.270154367988724e-04,7.84210861999754e-06,50000
2,4,Row-Update,-1.338058581918589,-1.3379550743103031867,0.0001035076082858133,1.122957021998146e-05,50000
2,4,Hybrid,-1.338058581918589,-1.33796298265457218982,9.559926401681018e-05,9.415117037192794e-06,50000
3,9,Metropolis,-1.338058581918589,-1.33803443139572105381,2.415052286794619e-05,2.565404282717561e-06,50000
3,9,Row-Update,-1.338058581918589,-1.338048694797516143839,9.887121072856161e-06,2.945700311513183e-06,50000
3,9,Hybrid,-1.338058581918589,-1.338050382137299258363,8.199781289741637e-06,2.113505802963341e-06,50000
4,16,Metropolis,-1.338058581918589,-1.33803903175354009172,1.955016504890828e-05,3.40433073999401e-06,50000
4,16,Row-Update,-1.338058581918589,-1.338050785064697149525,7.796853891850475e-06,2.913182523376157e-06,50000
4,16,Hybrid,-1.338058581918589,-1.338053915500641170485,4.666417947829515e-06,2.622748766411367e-06,50000
