seed,method,source_method,final_energy_per_site,within_run_variance
7,Row-Update,mps2,-1.33805789,1.157e-05
8,Row-Update,mps2,-1.33801847,2.127e-05
9,Row-Update,mps2,-1.3380272,1.556e-05
10,Row-Update,mps2,-1.33800926,3.313e-05
11,Row-Update,mps2,-1.33816183,7.559e-05
12,Row-Update,mps2,-1.33805286,9.24e-06
13,Row-Update,mps2,-1.33799352,1.732e-05
14,Row-Update,mps2,-1.3380623,2.45e-05
15,Row-Update,mps2,-1.33748934,1.168e-05
16,Row-Update,mps2,-1.33809467,5.645e-05
17,Row-Update,mps2,-1.33807393,6.594e-05
18,Row-Update,mps2,-1.33784179,0.00016098
19,Row-Update,mps2,-1.33768641,0.00012208
20,Row-Update,mps2,-1.33806509,8.26e-06
21,Row-Update,mps2,-1.33753367,0.00019455
22,Row-Update,mps2,-1.33747383,1.227e-05
23,Row-Update,mps2,-1.33748255,9.59e-06
24,Row-Update,mps2,-1.3374316,2.218e-05
25,Row-Update,mps2,-1.3380197,2.059e-05
26,Row-Update,mps2,-1.33405547,0.00016221
27,Row-Update,mps2,-1.3375554,2.843e-05
28,Row-Update,mps2,-1.33803663,1.492e-05
29,Row-Update,mps2,-1.33748803,1.593e-05
30,Row-Update,mps2,-1.33749406,1.077e-05
31,Row-Update,mps2,-1.33797778,2.075e-05
32,Row-Update,mps2,-1.33806855,1.904e-05
33,Row-Update,mps2,-1.33739055,2.73e-05
34,Row-Update,mps2,-1.33803648,1.539e-05
35,Row-Update,mps2,-1.33802539,2.578e-05
36,Row-Update,mps2,-1.33806077,1.632e-05
37,Row-Update,mps2,-1.33806182,1.338e-05
38,Row-Update,mps2,-1.3380522,1.123e-05
39,Row-Update,mps2,-1.33805008,8.3e-06
40,Row-Update,mps2,-1.33750695,1.735e-05
41,Row-Update,mps2,-1.33756958,8.489e-05
42,Row-Update,mps2,-1.33805501,8.84e-06
43,Row-Update,mps2,-1.33805781,2.216e-05
44,Row-Update,mps2,-1.33737749,3.477e-05
45,Row-Update,mps2,-1.33805222,1.224e-05
46,Row-Update,mps2,-1.33806058,1.909e-05
47,Row-Update,mps2,-1.33803775,8.91e-06
48,Row-Update,mps2,-1.3381462,8.559e-05
49,Row-Update,mps2,-1.33805745,1.261e-05
50,Row-Update,mps2,-1.33802217,3.448e-05
51,Row-Update,mps2,-1.33792638,0.00011575
52,Row-Update,mps2,-1.3374729,2.252e-05
53,Row-Update,mps2,-1.33798633,3.548e-05
54,Row-Update,mps2,-1.33802664,1.253e-05
55,Row-Update,mps2,-1.33806109,2.384e-05
56,Row-Update,mps2,-1.33742735,5.313e-05
57,Row-Update,mps2,-1.33748867,1.823e-05
58,Row-Update,mps2,-1.33806657,1.122e-05
59,Row-Update,mps2,-1.33768499,0.00016433
60,Row-Update,mps2,-1.33535009,1.796e-05
61,Row-Update,mps2,-1.33804377,1.726e-05
62,Row-Update,mps2,-1.33804344,1.039e-05
63,Row-Update,mps2,-1.33745988,9.54e-06
64,Row-Update,mps2,-1.33569056,5.817e-05
65,Row-Update,mps2,-1.33752591,0.00011591
66,Row-Update,mps2,-1.33749262,1.347e-05
67,Row-Update,mps2,-1.33803187,1.368e-05
68,Row-Update,mps2,-1.33749985,2.009e-05
69,Row-Update,mps2,-1.33763698,0.00012039
70,Row-Update,mps2,-1.33789814,4.467e-05
71,Row-Update,mps2,-1.33752138,2.079e-05
72,Row-Update,mps2,-1.33793883,4.087e-05
73,Row-Update,mps2,-1.33803995,3.174e-05
74,Row-Update,mps2,-1.33803977,1.385e-05
75,Row-Update,mps2,-1.33771105,0.00014009
76,Row-Update,mps2,-1.33765716,2.625e-05
77,Row-Update,mps2,-1.33799646,2.85e-05
78,Row-Update,mps2,-1.33806819,1.748e-05
79,Row-Update,mps2,-1.33745849,1.259e-05
80,Row-Update,mps2,-1.3380519,1.075e-05
81,Row-Update,mps2,-1.33805161,7.45e-06
82,Row-Update,mps2,-1.33748004,1.747e-05
83,Row-Update,mps2,-1.33561032,2.282e-05
84,Row-Update,mps2,-1.3374304,2.806e-05
85,Row-Update,mps2,-1.33802731,1.213e-05
86,Row-Update,mps2,-1.33802299,8.049e-05
87,Row-Update,mps2,-1.33802833,1.539e-05
88,Row-Update,mps2,-1.33804699,5.153e-05
89,Row-Update,mps2,-1.3377818,4.613e-05
90,Row-Update,mps2,-1.33804847,2.202e-05
91,Row-Update,mps2,-1.33801744,2.219e-05
92,Row-Update,mps2,-1.33805801,2.646e-05
93,Row-Update,mps2,-1.33595078,6.23e-06
94,Row-Update,mps2,-1.33804905,9.55e-06
95,Row-Update,mps2,-1.33749931,2.267e-05
96,Row-Update,mps2,-1.33596305,2.218e-05
97,Row-Update,mps2,-1.3380284,2.136e-05
98,Row-Update,mps2,-1.33803808,1.528e-05
99,Row-Update,mps2,-1.33805898,8.31e-06
100,Row-Update,mps2,-1.33806745,1.275e-05
1,Hybrid,mixture2,-1.33805876,1.216e-05
2,Hybrid,mixture2,-1.33596752,1.287e-05
3,Hybrid,mixture2,-1.33799242,2.464e-05
4,Hybrid,mixture2,-1.33748039,2.547e-05
5,Hybrid,mixture2,-1.33807395,2.132e-05
6,Hybrid,mixture2,-1.33748343,1.435e-05
7,Hybrid,mixture2,-1.33804986,1.354e-05
8,Hybrid,mixture2,-1.33802676,1.751e-05
9,Hybrid,mixture2,-1.33746086,2.423e-05
10,Hybrid,mixture2,-1.33806876,3.552e-05
11,Hybrid,mixture2,-1.33803204,2.454e-05
12,Hybrid,mixture2,-1.33802023,1.688e-05
13,Hybrid,mixture2,-1.33746785,1.088e-05
14,Hybrid,mixture2,-1.33734125,2.241e-05
15,Hybrid,mixture2,-1.33805916,1.112e-05
16,Hybrid,mixture2,-1.33762737,5.772e-05
17,Hybrid,mixture2,-1.33797638,3.087e-05
18,Hybrid,mixture2,-1.33754101,8.112e-05
19,Hybrid,mixture2,-1.3380691,1.462e-05
20,Hybrid,mixture2,-1.33807668,2.092e-05
21,Hybrid,mixture2,-1.33741428,3.651e-05
22,Hybrid,mixture2,-1.3380232,2.752e-05
23,Hybrid,mixture2,-1.33746873,1.322e-05
24,Hybrid,mixture2,-1.33769801,2.83e-05
25,Hybrid,mixture2,-1.33803912,1.242e-05
26,Hybrid,mixture2,-1.33803321,2.241e-05
27,Hybrid,mixture2,-1.33746876,9.73e-06
28,Hybrid,mixture2,-1.33754947,5.469e-05
29,Hybrid,mixture2,-1.33746364,2.517e-05
30,Hybrid,mixture2,-1.33806077,1.968e-05
31,Hybrid,mixture2,-1.33795796,4.14e-05
32,Hybrid,mixture2,-1.3350269,6.45e-06
33,Hybrid,mixture2,-1.33750376,2.501e-05
34,Hybrid,mixture2,-1.33594497,7.54e-06
35,Hybrid,mixture2,-1.33804636,2.079e-05
36,Hybrid,mixture2,-1.3380453,2.074e-05
37,Hybrid,mixture2,-1.33804083,1.195e-05
38,Hybrid,mixture2,-1.33803428,3.566e-05
39,Hybrid,mixture2,-1.33744967,1.811e-05
40,Hybrid,mixture2,-1.33805959,1.929e-05
41,Hybrid,mixture2,-1.33826864,0.00021223
42,Hybrid,mixture2,-1.33801492,2.157e-05
43,Hybrid,mixture2,-1.3381424,9.718e-05
44,Hybrid,mixture2,-1.33776666,3.516e-05
45,Hybrid,mixture2,-1.33807825,1.898e-05
46,Hybrid,mixture2,-1.33787369,8.832e-05
47,Hybrid,mixture2,-1.33802943,1.303e-05
48,Hybrid,mixture2,-1.33804554,1.377e-05
49,Hybrid,mixture2,-1.3359807,1.376e-05
50,Hybrid,mixture2,-1.33800283,1.609e-05
51,Hybrid,mixture2,-1.33770205,4.769e-05
52,Hybrid,mixture2,-1.33803186,3.462e-05
53,Hybrid,mixture2,-1.33809665,3.268e-05
54,Hybrid,mixture2,-1.33805394,1.675e-05
55,Hybrid,mixture2,-1.33806536,1.459e-05
56,Hybrid,mixture2,-1.33742455,2.827e-05
57,Hybrid,mixture2,-1.33742447,4.144e-05
58,Hybrid,mixture2,-1.338087,3.243e-05
59,Hybrid,mixture2,-1.3380002,4.857e-05
60,Hybrid,mixture2,-1.33594272,6.6e-06
61,Hybrid,mixture2,-1.33457932,2.93e-05
62,Hybrid,mixture2,-1.33791597,0.00014842
