step,method,source_method,mean_energy_per_site,standard_error_of_mean,n_independent_runs
130,Metropolis,metropolis,-1.33149104,5.08554128e-04,100
130,Row-Update,mps2,-1.33240360,2.92176857e-04,100
130,Hybrid,mixture2,-1.33316343,1.80463183e-04,100
131,Metropolis,metropolis,-1.33157095,5.04455971e-04,100
131,Row-Update,mps2,-1.33245583,2.82285166e-04,100
131,Hybrid,mixture2,-1.33323193,1.89782270e-04,100
132,Metropolis,metropolis,-1.33156348,5.08710553e-04,100
132,Row-Update,mps2,-1.33250030,2.86070098e-04,100
132,Hybrid,mixture2,-1.33323766,1.88982183e-04,100
133,Metropolis,metropolis,-1.33171439,4.93980118e-04,100
133,Row-Update,mps2,-1.33260990,2.73071863e-04,100
133,Hybrid,mixture2,-1.33331880,1.80964461e-04,100
134,Metropolis,metropolis,-1.33176546,4.92200846e-04,100
134,Row-Update,mps2,-1.33264078,2.67310237e-04,100
134,Hybrid,mixture2,-1.33331244,1.80435060e-04,100
135,Metropolis,metropolis,-1.33178359,4.76494948e-04,100
135,Row-Update,mps2,-1.33265439,2.67835949e-04,100
135,Hybrid,mixture2,-1.33335793,1.82131038e-04,100
136,Metropolis,metropolis,-1.33185182,4.80820065e-04,100
136,Row-Update,mps2,-1.33274422,2.65540302e-04,100
136,Hybrid,mixture2,-1.33337903,1.88737320e-04,100
137,Metropolis,metropolis,-1.33194967,4.72621052e-04,100
137,Row-Update,mps2,-1.33282395,2.52999717e-04,100
137,Hybrid,mixture2,-1.33343783,1.81849879e-04,100
138,Metropolis,metropolis,-1.33191417,4.76921110e-04,100
138,Row-Update,mps2,-1.33281712,2.55936685e-04,100
138,Hybrid,mixture2,-1.33350787,1.74898859e-04,100
139,Metropolis,metropolis,-1.33189360,4.74691806e-04,100
139,Row-Update,mps2,-1.33292830,2.45029762e-04,100
139,Hybrid,mixture2,-1.33345772,1.79616709e-04,100
140,Metropolis,metropolis,-1.33205164,4.67293712e-04,100
140,Row-Update,mps2,-1.33296197,2.38530181e-04,100
140,Hybrid,mixture2,-1.33350772,1.85624793e-04,100
141,Metropolis,metropolis,-1.33200336,4.70315397e-04,100
