step,method,source_method,mean_energy_per_site,standard_error_of_mean,n_independent_runs
130,Hybrid,mixture,-1.39028046,1.87394130e-03,20
131,Metropolis,metropolis,-1.38192143,2.48004806e-03,20
131,Row-Update,mps,-1.38786998,2.09821117e-03,20
131,Hybrid,mixture,-1.39036415,1.87772595e-03,20
132,Metropolis,metropolis,-1.38199061,2.47721903e-03,20
132,Row-Update,mps,-1.38792981,2.08917609e-03,20
132,Hybrid,mixture,-1.39051117,1.86759124e-03,20
133,Metropolis,metropolis,-1.38205810,2.46821283e-03,20
133,Row-Update,mps,-1.38799314,2.10077309e-03,20
133,Hybrid,mixture,-1.39053990,1.89035907e-03,20
134,Metropolis,metropolis,-1.38211816,2.45754005e-03,20
134,Row-Update,mps,-1.38813068,2.10203495e-03,20
134,Hybrid,mixture,-1.39056294,1.88403911e-03,20
135,Metropolis,metropolis,-1.38214963,2.44239362e-03,20
135,Row-Update,mps,-1.38819611,2.11113407e-03,20
135,Hybrid,mixture,-1.39076300,1.88149033e-03,20
136,Metropolis,metropolis,-1.38216819,2.45504024e-03,20
136,Row-Update,mps,-1.38829633,2.11431741e-03,20
136,Hybrid,mixture,-1.39092561,1.89737183e-03,20
137,Metropolis,metropolis,-1.38228037,2.45694333e-03,20
137,Row-Update,mps,-1.38832934,2.12849719e-03,20
137,Hybrid,mixture,-1.39093640,1.90752031e-03,20
138,Metropolis,metropolis,-1.38230022,2.44859823e-03,20
138,Row-Update,mps,-1.38843412,2.12989099e-03,20
138,Hybrid,mixture,-1.39110589,1.92044635e-03,20
139,Metropolis,metropolis,-1.38237009,2.46323562e-03,20
139,Row-Update,mps,-1.38849828,2.13936666e-03,20
139,Hybrid,mixture,-1.39122525,1.91318679e-03,20
140,Metropolis,metropolis,-1.38241687,2.46099774e-03,20
140,Row-Update,mps,-1.38854404,2.12885867e-03,20
140,Hybrid,mixture,-1.39130195,1.90348195e-03,20
141,Metropolis,metropolis,-1.38249308,2.46004735e-03,20
141,Row-Update,mps,-1.38859983,2.13086485e-03,20
141,Hybrid,mixture,-1.39131185,1.90732341e-03,20
142,Metropolis,metropolis,-1.38256879,2.44254666e-03,20
142,Row-Update,mps,-1.38869669,2.14315120e-03,20
142,Hybrid,mixture,-1.39143651,1.92325022e-03,20
143,Metropolis,metropolis,-1.38261602,2.45759259e-03,20
143,Row-Update,mps,-1.38874375,2.13585924e-03,20
143,Hybrid,mixture,-1.39152771,1.91410618e-03,20
144,Metropolis,metropolis,-1.38263850,2.46191275e-03,20
144,Row-Update,mps,-1.38874306,2.15138793e-03,20
144,Hybrid,mixture,-1.39161480,1.92185050e-03,20
145,Metropolis,metropolis,-1.38271101,2.46114241e-03,20
145,Row-Update,mps,-1.38889025,2.15171610e-03,20
145,Hybrid,mixture,-1.39160449,1.92339275e-03,20
146,Metropolis,metropolis,-1.38277268,2.47546621e-03,20
146,Row-Update,mps,-1.38895732,2.15758058e-03,20
146,Hybrid,mixture,-1.39170154,1.91869070e-03,20
147,Metropolis,metropolis,-1.38283196,2.48194180e-03,20
147,Row-Update,mps,-1.38898781,2.14902748e-03,20
147,Hybrid,mixture,-1.39170870,1.91635659e-03,20
148,Metropolis,metropolis,-1.38293820,2.47927311e-03,20
148,Row-Update,mps,-1.38899057,2.15272605e-03,20
148,Hybrid,mixture,-1.39178569,1.93745801e-03,20
149,Metropolis,metropolis,-1.38298885,2.48646298e-03,20
149,Row-Update,mps,-1.38908099,2.15160789e-03,20
149,Hybrid,mixture,-1.39180058,1.92961360e-03,20
150,Metropolis,metropolis,-1.38308485,2.49882884e-03,20
150,Row-Update,mps,-1.38919262,2.16011739e-03,20
