L,method,equilibration_step
4,Metropolis,1
4,Row-Update,1
4,Hybrid,1
6,Metropolis,4
6,Row-Update,1
6,Hybrid,1
8,Metropolis,7
8,Row-Update,1
8,Hybrid,1
10,Metropolis,8
10,Row-Update,1
10,Hybrid,1
12,Metropolis,9
12,Row-Update,1
12,Hybrid,1
16,Metropolis,9
16,Row-Update,1
16,Hybrid,1
20,Metropolis,11
20,Row-Update,1
20,Hybrid,1
